world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,37.7,57.7,"20,925",13.5,29%,53:47:00,2011
90,University of Zurich,Switzerland,56.6,87.9,47,65,43.8,57.7,"26,583",6.5,19%,57:43:00,2011
90,Wake Forest University,United States,54.6,24.4,42.9,79.2,-,57.7,"7,326",4.6,5%,51:49:00,2011
93,McMaster University,Canada,44.7,-,58.7,68.5,-,57.6,"23,823",19.3,15%,53:47:00,2011
94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,-,57.5,"22,193",24.5,23%,,2011
95,George Washington University,United States,60.6,39.6,43.1,70.2,-,57.3,"20,541",12,16%,56:44:00,2011
95,University of Arizona,United States,52.4,21.9,52.2,70.1,84.2,57.3,"36,429",12.7,8%,52:48:00,2011
95,University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3,"12,551",17.3,24%,54:46:00,2011
98,"University of Maryland, College Park",United States,45.4,35.4,48.6,79.2,-,57.2,"31,331",8.4,9%,48:52:00,2011
99,Dartmouth College,United States,44.7,31,49.2,79.7,-,57.1,"6,178",6.6,16%,47:53:00,2011
100,École Normale Supérieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57,"2,218",8,14%,49:51:00,2011
1,California Institute of Technology,United States,95.7,56,98.2,99.9,97,94.8,"2,243",6.9,27%,33 : 67,2012
2,Harvard University,United States,95.8,67.5,97.4,99.8,35.9,93.9,"20,152",8.9,25%,,2012
2,Stanford University,United States,94.8,57.2,98.9,99.8,63.8,93.9,"15,596",7.8,22%,42:58:00,2012
4,University of Oxford,United Kingdom,89.5,91.9,96.6,97.9,62.1,93.6,"19,919",11.6,34%,46:54:00,2012
5,Princeton University,United States,91.5,49.6,99.1,100,81,92.9,"7,929",8.4,27%,45:55:00,2012
6,University of Cambridge,United Kingdom,90.5,85.3,94.2,97.3,55.5,92.4,"18,812",11.8,34%,46:54:00,2012
7,Massachusetts Institute of Technology,United States,92.7,79.2,87.4,100,94.4,92.3,"11,074",9,33%,37 : 63,2012
8,Imperial College London,United Kingdom,88.8,92.2,88.7,93.9,93.1,90.7,"15,060",11.7,51%,37 : 63,2012
9,University of Chicago,United States,89.4,58.8,90.8,99.4,-,90.2,"14,221",6.9,21%,42:58:00,2012
10,"University of California, Berkeley",United States,82.8,50.4,99.4,99.4,62.5,89.8,"36,186",16.4,15%,50:50:00,2012
11,Yale University,United States,92.3,55.5,91.2,96.7,34.7,89.1,"11,751",4.4,20%,50:50:00,2012
12,Columbia University,United States,89.1,67.6,81.8,97.8,-,87.5,"25,055",5.9,28%,,2012
13,"University of California, Los Angeles",United States,85.9,41,92.5,97.3,-,87.3,"38,206",10.3,15%,52:48:00,2012
14,Johns Hopkins University,United States,78.9,59.9,86.5,97.3,100,85.8,"15,128",3.6,23%,50:50:00,2012
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,79.1,97.5,85.8,87.2,-,85,"18,178",14.7,37%,31 : 69,2012
16,University of Pennsylvania,United States,87,34.3,86.1,97.9,41.9,84.9,"20,376",6.5,20%,51:49:00,2012
17,University College London,United Kingdom,77.8,91.8,84.3,89,41.4,83.2,"26,607",10.7,46%,56:44:00,2012
18,University of Michigan,United States,75.4,47.2,90,94.3,53.3,82.8,"41,786",9,16%,48:52:00,2012
19,University of Toronto,Canada,76.9,69,87.4,86.5,44.9,81.6,"66,198",19.5,15%,,2012
20,Cornell University,United States,70.4,53.4,87.2,93.5,-,80.5,"21,424",10.2,19%,48:52:00,2012
21,Carnegie Mellon University,United States,65.7,55,79.5,97.4,60.7,78.4,"11,885",13.1,35%,39 : 61,2012
22,Duke University,United States,62.6,46.9,77.9,97.4,100,77.4,"15,172",4.8,17%,49:51:00,2012
22,University of British Columbia,Canada,68.6,88.7,78.6,85.2,40.6,77.4,"50,152",17.6,25%,54:46:00,2012
24,Georgia Institute of Technology,United States,66.6,65,73.8,91.9,99.2,77,"19,967",20.1,26%,31 : 69,2012
25,University of Washington,United States,70.8,36.9,74,98.2,31.8,76.5,"44,020",11.8,13%,53:47:00,2012
26,Northwestern University,United States,66.3,35.3,75.5,98.6,56.6,76.2,"18,334",13.8,15%,48:52:00,2012
27,University of Wisconsin-Madison,United States,74.3,23.8,77.3,90.6,55.3,75.8,"39,655",10.8,11%,51:49:00,2012
28,McGill University,Canada,72.8,81.4,78.4,77.1,35.1,75.5,"31,326",13.7,23%,56:44:00,2012
29,University of Texas at Austin,United States,69.5,38.8,76.1,89.6,57.7,74.9,"49,427",17.4,9%,51:49:00,2012
30,University of Tokyo,Japan,86.1,23,80.3,69.1,76.6,74.3,"26,199",5.7,10%,,2012
31,University of Illinois at Urbana-Champaign,United States,67.9,50.7,81.3,81.5,-,74.2,"42,727",18.7,20%,47:53:00,2012
32,Karolinska Institute,Sweden,69.9,82,73.8,73.1,78.5,73.1,"7,774",11.5,22%,70:30:00,2012
33,"University of California, San Diego",United States,61.4,31.5,72,97.8,51.8,73,"27,233",6.5,11%,48:52:00,2012
34,University of Hong Kong,Hong Kong,74,83.7,80.1,60.5,64.1,72.3,"19,835",17.6,38%,53:47:00,2012
35,"University of California, Santa Barbara",United States,55,52.6,65.3,99.9,85,72.1,"22,020",27.3,11%,52:48:00,2012
36,University of Edinburgh,United Kingdom,63,79.8,61.4,92.3,41.3,72,"25,774",14.1,36%,58:42:00,2012
37,University of Melbourne,Australia,62.2,82.5,72.4,80.7,44.4,71.9,"40,128",23.7,35%,55:45:00,2012
38,Australian National University,Australia,62.8,93.8,75.1,72.6,41.7,71.2,"14,604",19.2,35%,52:48:00,2012
38,"University of California, Davis",United States,68,51.4,68.7,83.4,52.5,71.2,"35,364",13.9,13%,54:46:00,2012
40,National University of Singapore,Singapore,65.7,93,79,63.4,60.7,70.9,"31,592",15.5,34%,49:51:00,2012
41,Washington University in St Louis,United States,64,45.7,58.9,96.1,-,70.5,"12,528",5.7,17%,,2012
42,University of Minnesota,United States,66.1,25.6,72.5,85.4,-,70,"46,825",18,13%,52:48:00,2012
43,University of North Carolina at Chapel Hill,United States,67.6,20.2,62.6,92.6,35.5,69.3,"26,518",7.3,8%,58:42:00,2012
44,New York University,United States,60.2,38.1,65.4,92.3,30.9,69,"42,056",6.8,19%,55:45:00,2012
45,LMU Munich,Germany,63.8,54.3,59.9,84.6,40.7,67.6,"35,691",15.5,13%,62:38:00,2012
46,École Polytechnique Fédérale de Lausanne,Switzerland,53.1,98.9,43.9,95.3,46.7,66.3,"9,666",10.5,54%,27 : 73,2012
47,London School of Economics and Political Science,United Kingdom,66.4,96,75.4,50.6,41.1,66,,,,,2012
48,University of Manchester,United Kingdom,59,80.4,61.1,75.6,37.7,65.7,"34,938",15.3,34%,52:48:00,2012
49,Brown University,United States,59.8,33.4,53.6,93.9,34.9,65.6,"8,653",10.1,19%,,2012
49,Peking University,China,82.3,51.7,64.1,51,99.9,65.6,"40,148",8.3,14%,,2012
51,Pennsylvania State University,United States,53.5,29.5,66.7,83.4,61.6,64.9,"44,501",12.4,12%,46:54:00,2012
52,Kyoto University,Japan,76.4,21.1,72,56.3,71.7,64.8,"22,809",5.6,7%,,2012
53,Pohang University of Science and Technology,South Korea,56.4,25,51.9,92.3,100,64.6,"3,055",10.1,4%,0.888888889,2012
54,Boston University,United States,60.7,37.2,46.2,95.6,27.6,64.2,"24,789",8.6,17%,58:42:00,2012
55,University of Southern California,United States,65.8,41.1,48.7,80.2,99.3,64,"36,534",12.9,20%,52:48:00,2012
56,King’s College London,United Kingdom,49.8,90,54.2,80.9,40.8,63.2,"21,394",11.4,37%,61:39:00,2012
57,Ohio State University,United States,61.8,42.2,56.2,77.5,49.9,63,"51,462",13.4,12%,49:51:00,2012
58,University of Sydney,Australia,55.4,88.1,65.7,57.2,92.1,62.4,"41,868",20.2,28%,57:43:00,2012
59,University of Pittsburgh,United States,54.3,26.5,53.9,88.7,37.5,62,"26,485",5.8,10%,51:49:00,2012
59,École Normale Supérieure,France,56.6,66.2,33.5,96.4,44.7,62,"2,400",7.9,20%,46:54:00,2012
61,University of Zurich,Switzerland,56.7,87.4,45.9,78.4,43.5,61.9,"26,583",6.5,19%,57:43:00,2012
62,Hong Kong University of Science and Technology,Hong Kong,51,80.1,58.6,71,59,61.7,"11,385",23.8,36%,,2012
63,École Polytechnique,France,50.4,86.1,38.8,89.1,63,61.5,"2,429",4.8,30%,0.806944444,2012
64,University of Massachusetts,United States,54,27.3,58.3,80.1,53.2,61.1,"56,959",13,11%,49:51:00,2012
65,McMaster University,Canada,41.9,72,49.9,85.5,97.5,61,"23,823",19.3,15%,53:47:00,2012
66,University of Bristol,United Kingdom,44.2,73.7,47.7,89.9,34.8,60.9,"17,906",14,25%,53:47:00,2012
67,KU Leuven,Belgium,52.5,56.7,64.7,63,99.9,60.8,"42,503",41.9,18%,54:46:00,2012
68,Utrecht University,Netherlands,42.8,58.1,53.2,85.7,59.3,60.4,"30,779",15.4,7%,59:41:00,2012
69,University of Göttingen,Germany,51.4,48,50.9,84.1,32.7,60.3,"25,581",25.6,12%,51:49:00,2012
70,Vanderbilt University,United States,52.1,26.8,47.6,86.8,64.4,59.6,"12,161",3.6,10%,52:48:00,2012
71,Tsinghua University,China,74.1,33.4,70.1,37.4,99.8,59.5,"39,763",13.7,10%,32 : 68,2012
72,Rice University,United States,45.9,39.7,38,99.9,36.2,59,"6,333",9,26%,44:56:00,2012
73,Heidelberg University,Germany,57.1,62.3,41.5,78.5,37.6,58.7,"28,881",24.5,17%,55:45:00,2012
74,The University of Queensland,Australia,47.5,80.8,52.3,70.2,62.6,58.6,"34,718",32.7,27%,53:47:00,2012
75,Emory University,United States,48.4,37.3,39.8,90.9,34.4,57.4,"12,338",4.5,18%,56:44:00,2012
75,Wageningen University and Research Center,Netherlands,50.1,75.9,47.6,66.3,100,57.4,"9,248",17,21%,56:44:00,2012
77,Tufts University,United States,45.8,41.3,37.4,94.5,35.4,57.3,"10,410",10,14%,54:46:00,2012
77,University of Colorado Boulder,United States,39.5,30.8,42.6,98.2,-,57.3,"29,325",16.1,8%,45:55:00,2012
79,Leiden University,Netherlands,45.4,54.4,55.3,71.7,48.6,57,"21,222",17.1,10%,59:41:00,2012
80,Lund University,Sweden,40.4,61.2,58.5,72.8,32.6,56.9,"28,251",11.5,15%,,2012
81,"Rutgers, the State University of New Jersey",United States,51.6,25.3,60,69,-,56.8,"37,032",17.3,8%,51:49:00,2012
81,University of Rochester,United States,47,45.7,33.5,94.5,36.4,56.8,"9,390",4.5,26%,49:51:00,2012
83,Durham University,United Kingdom,32.5,75.8,37.9,96.2,30.5,56.4,"15,489",15.7,24%,54:46:00,2012
84,Pierre and Marie Curie University,France,56.3,66.7,30.5,81.1,26.2,56,"27,862",8.7,18%,48:52:00,2012
85,University of St Andrews,United Kingdom,37.1,89.1,40.2,83,34.1,55.7,"8,338",12.7,47%,56:44:00,2012
86,"University of California, Irvine",United States,36.2,36.3,42.3,93.5,45.6,55.4,"26,614",16.1,16%,52:48:00,2012
87,Uppsala University,Sweden,47.2,59.1,65.1,53.3,43.4,55.2,"25,266",18.2,12%,57:43:00,2012
88,Technical University of Munich,Germany,50,65.2,37.1,76.3,47.2,55.1,"35,565",31.5,20%,33 : 67,2012
89,University of Notre Dame,United States,42.6,33.1,36.2,94.1,27.3,55,"11,829",13.8,10%,44:56:00,2012
90,Dartmouth College,United States,44.8,30.6,38.7,89.9,-,54.9,"6,178",6.6,16%,47:53:00,2012
91,University of Helsinki,Finland,39.3,46.8,54.2,75.1,28.9,54.8,"23,505",15.1,6%,66:34:00,2012
92,University of Amsterdam,Netherlands,41.7,56.4,54.7,68.3,42.5,54.7,"24,570",14.4,11%,53:47:00,2012
93,Case Western Reserve University,United States,54.2,29.9,40.2,78.4,-,54.6,"9,259",6.4,17%,48:52:00,2012
94,Korea Advanced Institute of Science and Technology (KAIST),South Korea,64.2,29.3,54.6,47.1,100,54.5,"9,027",10,9%,0.888888889,2012
94,"University of Maryland, College Park",United States,41.1,35.3,43.6,85.8,28.5,54.5,"31,331",8.4,9%,48:52:00,2012
96,Michigan State University,United States,47.4,34,49.6,73.6,28,54.4,"44,750",15.7,15%,51:49:00,2012
97,University of Arizona,United States,45.1,28.4,43,78.3,86,54.2,"36,429",12.7,8%,52:48:00,2012
98,Purdue University,United States,56.6,52.6,49.4,57.8,-,54,"39,256",18.1,22%,42:58:00,2012
99,University of Sussex,United Kingdom,30.6,79.8,34.8,92,28.1,53.9,"12,001",17.4,35%,54:46:00,2012
100,University of Alberta,Canada,50.6,71.9,54.4,51.7,53.7,53.7,"36,299",21.6,23%,55:45:00,2012
1,California Institute of Technology,United States,96.3,59.8,99.4,99.7,95.6,95.5,"2,243",6.9,27%,33 : 67,2013
2,Stanford University,United States,95,56.6,98.8,99.3,62.4,93.7,"15,596",7.8,22%,42:58:00,2013
2,University of Oxford,United Kingdom,89.7,88.7,98.1,95.6,79.8,93.7,"19,919",11.6,34%,46:54:00,2013
4,Harvard University,United States,94.9,63.7,98.6,99.2,39.9,93.6,"20,152",8.9,25%,,2013
5,Massachusetts Institute of Technology,United States,92.9,81.6,89.2,99.9,92.9,93.1,"11,074",9,33%,37 : 63,2013
6,Princeton University,United States,89.5,54.5,99.4,99.8,79.5,92.7,"7,929",8.4,27%,45:55:00,2013
7,University of Cambridge,United Kingdom,91.2,83.6,95.6,96.2,59.1,92.6,"18,812",11.8,34%,46:54:00,2013
8,Imperial College London,United Kingdom,88,91.4,90.9,93,87.5,90.6,"15,060",11.7,51%,37 : 63,2013
9,"University of California, Berkeley",United States,85.1,49.7,99.3,99.3,65.4,90.5,"36,186",16.4,15%,50:50:00,2013
10,University of Chicago,United States,89.6,55.3,92.9,98.7,-,90.4,"14,221",6.9,21%,42:58:00,2013
11,Yale University,United States,93.2,54.7,92.5,94.8,38.2,89.2,"11,751",4.4,20%,50:50:00,2013
12,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,82.5,95.7,92.7,86.6,-,87.8,"18,178",14.7,37%,31 : 69,2013
13,"University of California, Los Angeles",United States,87.3,42.3,93.8,95.9,-,87.7,"38,206",10.3,15%,52:48:00,2013
14,Columbia University,United States,89.7,66.1,82,96.1,-,87,"25,055",5.9,28%,,2013
15,University of Pennsylvania,United States,90,38.1,89.4,96.2,43.7,86.6,"20,376",6.5,20%,51:49:00,2013
16,Johns Hopkins University,United States,81.8,57.3,85.5,95.3,100,85.6,"15,128",3.6,23%,50:50:00,2013
17,University College London,United Kingdom,83.5,89,88.8,86.8,45.1,85.5,"26,607",10.7,46%,56:44:00,2013
18,Cornell University,United States,77,53.8,92.1,91.8,39.5,83.3,"21,424",10.2,19%,48:52:00,2013
19,Northwestern University,United States,77.6,33.8,87.3,98.2,64.4,83.1,"18,334",13.8,15%,48:52:00,2013
20,University of Michigan,United States,76.1,47.6,91.4,91.6,53.9,82.6,"41,786",9,16%,48:52:00,2013
21,University of Toronto,Canada,79.6,65.1,89.4,85.1,42.9,82.2,"66,198",19.5,15%,,2013
22,Carnegie Mellon University,United States,71.8,51.4,87,95.5,55.9,81.5,"11,885",13.1,35%,39 : 61,2013
23,Duke University,United States,72.3,45.8,81.5,97,100,81.2,"15,172",4.8,17%,49:51:00,2013
24,University of Washington,United States,74.7,39.1,81.3,97,41.3,79.9,"44,020",11.8,13%,53:47:00,2013
25,Georgia Institute of Technology,United States,70.2,66.3,79.5,90.3,74.9,78.8,"19,967",20.1,26%,31 : 69,2013
25,University of Texas at Austin,United States,75.5,42.1,80.7,91,57.9,78.8,"49,427",17.4,9%,51:49:00,2013
27,University of Tokyo,Japan,87.9,27.6,89.9,71.3,59,78.3,"26,199",5.7,10%,,2013
28,University of Melbourne,Australia,68.4,77.2,82.5,83.7,67.6,77.9,"40,128",23.7,35%,55:45:00,2013
29,National University of Singapore,Singapore,74.4,92.3,87.2,67.2,77.4,77.5,"31,592",15.5,34%,49:51:00,2013
30,University of British Columbia,Canada,69.1,82.1,80.4,84,42.4,77.3,"50,152",17.6,25%,54:46:00,2013
31,University of Wisconsin-Madison,United States,76.1,29.8,80.1,88.2,54.8,76.9,"39,655",10.8,11%,51:49:00,2013
32,University of Edinburgh,United Kingdom,68.4,78.9,71.3,90.8,43.8,76.1,"25,774",14.1,36%,58:42:00,2013
33,University of Illinois at Urbana-Champaign,United States,74.2,36,84.9,80.8,-,75.8,"42,727",18.7,20%,47:53:00,2013
34,McGill University,Canada,74.4,75.9,80.4,75.2,40.3,75.7,"31,326",13.7,23%,56:44:00,2013
35,"University of California, Santa Barbara",United States,56.1,58.3,73.5,99.4,100,75.6,"22,020",27.3,11%,52:48:00,2013
35,University of Hong Kong,Hong Kong,78.4,81.7,85.9,62.1,62.5,75.6,"19,835",17.6,38%,53:47:00,2013
37,Australian National University,Australia,68.6,90,83.5,73.5,39.6,75.4,"14,604",19.2,35%,52:48:00,2013
38,"University of California, San Diego",United States,63.4,34.2,79,96.2,43.9,75.2,"27,233",6.5,11%,48:52:00,2013
39,London School of Economics and Political Science,United Kingdom,70.8,87.2,80.8,66.5,42.9,73.1,,,,,2013
40,École Polytechnique Fédérale de Lausanne,Switzerland,62.4,98.8,57,95,49.8,73,"9,666",10.5,54%,27 : 73,2013
41,New York University,United States,73.8,38.7,67.4,89.2,29.5,72.8,"42,056",6.8,19%,55:45:00,2013
42,Karolinska Institute,Sweden,66.3,64.5,75.7,77.3,71.4,72.4,"7,774",11.5,22%,70:30:00,2013
42,University of North Carolina at Chapel Hill,United States,70.4,32.9,69.3,90.1,40,72.4,"26,518",7.3,8%,58:42:00,2013
